stay_id,begin_of_stay,end_of_stay,persons,room_type,total_price
113,2016-12-26,2017-01-05,3,Family,3219.06
114,2021-04-23,2021-04-26,1,Double,723.97
115,2023-05-15,2023-05-18,3,Family,1372.05
116,2019-09-06,2019-09-17,3,Family,5713.29
117,2015-01-16,2015-01-30,2,Single,1650.85
118,2022-09-01,2022-09-02,1,Single,165.3
119,2021-06-20,2021-06-25,4,Family,3407.41
120,2018-06-29,2018-07-08,2,Single,1670.02
121,2021-01-19,2021-02-02,4,Family,3620.15
122,2019-08-05,2019-08-15,4,Family,6696.94
123,2023-09-01,2023-09-14,1,Double,2709.36
124,2019-05-18,2019-05-28,1,Single,904.07
125,2022-06-18,2022-07-02,3,Single,2365.38
126,2021-01-16,2021-01-24,3,Family,1757.22
127,2023-12-26,2023-12-28,3,Single,323.35
128,2016-10-03,2016-10-17,2,Single,1707.5
129,2020-03-29,2020-03-31,4,Family,1221.22
130,2022-11-16,2022-11-24,3,Family,3150.35
131,2016-06-19,2016-07-02,1,Single,2083.2
132,2019-05-23,2019-06-03,1,Double,1965.47
133,2021-03-20,2021-04-03,4,Single,2720.96
134,2022-03-04,2022-03-15,3,Family,5216.84
135,2020-03-24,2020-04-06,3,Single,2360.11
136,2017-05-17,2017-05-28,3,Single,1691.66
137,2019-11-17,2019-11-26,2,Single,981.08
138,2017-12-04,2017-12-05,4,Single,93.85
139,2023-06-27,2023-07-08,3,Family,7768.9
140,2019-08-25,2019-09-05,3,Family,6376.2
141,2023-06-13,2023-06-15,3,Single,725.83
142,2020-01-13,2020-01-24,3,Single,1072.17
143,2019-02-12,2019-02-22,4,Family,2687.55
144,2015-12-15,2015-12-19,3,Single,304.91
145,2023-03-31,2023-04-09,4,Single,1195.7
146,2022-09-27,2022-10-02,3,Family,2138.68
147,2019-06-18,2019-06-30,2,Single,2443.39
148,2022-07-09,2022-07-17,1,Double,2500.24
149,2015-01-26,2015-02-01,2,Double,986.21
150,2020-02-23,2020-03-01,1,Single,591.94
151,2015-11-16,2015-11-28,3,Single,1390.15
152,2019-03-08,2019-03-16,1,Double,2908.77
153,2019-06-17,2019-06-27,3,Single,2191.82
154,2021-04-08,2021-04-20,1,Single,1802.0
155,2021-03-18,2021-03-19,2,Single,86.55
156,2020-01-13,2020-01-22,3,Single,1049.91
157,2023-02-03,2023-02-17,4,Single,1299.22
158,2020-06-22,2020-07-01,4,Single,3080.24
159,2020-10-27,2020-11-08,2,Double,4357.89
160,2020-10-02,2020-10-11,1,Single,1481.97
161,2022-03-26,2022-04-05,4,Family,6628.86
162,2016-09-16,2016-09-24,4,Family,4011.65
163,2017-10-21,2017-10-27,3,Single,686.37
164,2016-04-25,2016-05-03,3,Family,3474.89
165,2019-04-17,2019-04-26,4,Family,3016.3
166,2016-11-15,2016-11-23,1,Double,1527.24
167,2017-08-27,2017-09-05,4,Single,1846.69
168,2017-04-10,2017-04-17,4,Family,3078.91
169,2022-08-04,2022-08-07,1,Single,635.5
170,2020-11-04,2020-11-13,1,Double,3235.75
171,2023-05-09,2023-05-12,1,Double,540.06
172,2018-01-04,2018-01-14,1,Double,1329.58
173,2017-03-22,2017-04-01,4,Family,5223.84
174,2017-02-27,2017-03-02,1,Single,297.66
175,2023-09-14,2023-09-18,4,Family,2269.62
176,2022-03-26,2022-04-08,1,Single,2344.33
177,2019-02-27,2019-03-04,3,Single,471.44
178,2019-08-09,2019-08-22,4,Single,2404.03
179,2016-12-04,2016-12-10,4,Single,689.89
180,2022-01-17,2022-01-26,3,Single,1556.82
181,2022-02-12,2022-02-13,1,Single,148.68
182,2023-07-25,2023-08-01,4,Single,2213.01
183,2018-04-15,2018-04-29,3,Family,5481.47
184,2020-05-24,2020-06-01,3,Single,984.01
185,2019-02-03,2019-02-13,2,Single,1106.79
186,2023-04-19,2023-04-21,2,Double,471.21
187,2023-07-13,2023-07-20,4,Family,4570.19
188,2016-11-21,2016-11-25,4,Family,1840.33
189,2016-02-06,2016-02-13,3,Single,696.71
190,2017-06-22,2017-06-29,3,Single,1289.33
191,2020-02-05,2020-02-11,1,Double,880.45
192,2019-10-23,2019-11-03,2,Double,3895.65
193,2020-01-15,2020-01-17,1,Single,216.36
194,2022-05-05,2022-05-12,2,Double,2111.57
195,2020-03-13,2020-03-18,2,Single,742.55
196,2018-07-10,2018-07-20,4,Single,1688.4
197,2023-04-03,2023-04-13,3,Family,3979.37
198,2017-01-23,2017-01-31,1,Double,1414.83
199,2015-12-11,2015-12-20,1,Single,590.87
200,2015-11-08,2015-11-18,2,Single,1469.28
201,2015-08-01,2015-08-14,3,Family,6339.76
202,2018-05-23,2018-06-01,1,Single,1189.66
203,2019-01-08,2019-01-21,4,Single,1324.16
204,2023-09-13,2023-09-15,1,Single,360.8
205,2018-09-11,2018-09-21,2,Double,2344.2
206,2021-05-06,2021-05-09,3,Family,1329.09
207,2022-04-17,2022-04-26,1,Double,2151.09
208,2022-11-14,2022-11-20,4,Family,3471.24
209,2015-09-13,2015-09-27,3,Single,1963.87
210,2022-01-25,2022-02-02,2,Single,1476.47
211,2022-12-21,2022-12-30,3,Family,6012.2
212,2017-04-25,2017-05-09,1,Double,2009.12
213,2016-05-08,2016-05-21,4,Single,2185.65
214,2016-07-28,2016-07-31,3,Single,710.65
215,2021-09-22,2021-09-24,4,Single,603.03
216,2021-04-01,2021-04-02,3,Single,165.91
217,2015-12-27,2016-01-01,2,Double,746.08
218,2021-06-16,2021-06-26,3,Single,2961.6
219,2018-12-13,2018-12-17,4,Family,1352.14
220,2022-01-13,2022-01-23,2,Single,1014.9
221,2018-09-21,2018-10-05,3,Family,6041.78
222,2022-07-22,2022-07-29,2,Single,1368.51
223,2018-07-11,2018-07-20,2,Single,1791.08
224,2017-02-15,2017-02-26,3,Family,2628.28
225,2018-03-30,2018-04-08,4,Single,1421.54
226,2019-11-09,2019-11-13,4,Family,2098.87
227,2018-08-15,2018-08-20,4,Single,1493.92
228,2015-01-07,2015-01-19,1,Single,1337.36
229,2015-07-18,2015-07-28,3,Single,2390.14
230,2021-05-07,2021-05-14,1,Single,1385.42
231,2023-01-13,2023-01-20,4,Single,1041.79
232,2021-09-12,2021-09-24,2,Single,1231.08
233,2020-11-12,2020-11-18,3,Family,2913.52
234,2021-06-26,2021-07-01,1,Double,1944.37
235,2015-06-01,2015-06-07,1,Double,1848.13
236,2021-04-25,2021-04-30,4,Family,2055.11
237,2019-10-17,2019-10-31,3,Family,4841.68
238,2016-05-26,2016-06-06,2,Single,1703.06
239,2016-07-06,2016-07-17,3,Family,5631.9
240,2021-05-28,2021-06-05,2,Double,1965.23
241,2021-01-02,2021-01-05,3,Family,647.76
242,2020-09-10,2020-09-23,1,Single,2784.47
243,2016-07-05,2016-07-07,3,Single,247.24
244,2021-01-08,2021-01-22,4,Family,4898.82
245,2022-12-11,2022-12-19,2,Single,1169.7
246,2021-03-26,2021-04-05,2,Double,3090.55
247,2021-03-16,2021-03-18,4,Family,810.87
248,2023-08-29,2023-09-10,4,Single,3167.72
249,2017-01-28,2017-02-08,3,Single,1350.66
250,2022-01-21,2022-01-27,1,Double,1082.68
251,2023-08-21,2023-09-01,1,Double,4319.27
252,2017-03-10,2017-03-15,3,Family,2052.83
253,2017-10-03,2017-10-09,1,Single,802.92
254,2018-08-19,2018-08-23,1,Single,689.68
255,2019-03-20,2019-03-25,2,Single,1068.69
256,2016-02-20,2016-03-01,1,Single,1041.04
257,2017-07-04,2017-07-13,4,Single,2207.96
258,2023-10-29,2023-10-30,1,Double,423.72
259,2015-10-30,2015-11-04,3,Family,1932.13
260,2020-02-23,2020-03-04,3,Family,1935.35
261,2020-07-10,2020-07-23,2,Single,1978.15
262,2017-05-04,2017-05-14,4,Family,3470.29
263,2020-03-30,2020-04-01,3,Family,777.11
264,2021-12-17,2021-12-27,4,Family,3326.58
265,2023-11-25,2023-11-29,4,Single,712.2
266,2022-12-11,2022-12-14,2,Double,653.03
267,2022-03-01,2022-03-10,1,Single,1571.27
268,2021-07-01,2021-07-15,2,Double,5896.27
269,2021-01-20,2021-01-23,4,Family,809.76
270,2020-10-19,2020-10-25,3,Family,2606.67
271,2023-06-27,2023-07-01,2,Single,1048.29
272,2015-07-19,2015-07-20,2,Single,217.01
273,2021-03-04,2021-03-07,1,Single,534.81
274,2017-05-01,2017-05-13,2,Double,2922.34
275,2017-07-23,2017-07-25,3,Family,1016.9
276,2023-05-15,2023-05-18,3,Family,1592.64
277,2022-05-20,2022-05-25,1,Double,2012.58
278,2021-06-23,2021-07-01,3,Family,5249.83
279,2023-01-09,2023-01-16,2,Double,1546.13
280,2015-03-04,2015-03-06,1,Single,251.25
281,2019-04-17,2019-04-21,2,Single,608.18
282,2015-01-25,2015-02-03,2,Double,1312.66
283,2015-06-28,2015-07-04,2,Double,1471.56
284,2023-10-14,2023-10-21,3,Family,4047.9
285,2018-02-27,2018-03-02,2,Single,312.83
286,2017-07-27,2017-07-28,4,Family,499.37
287,2015-08-01,2015-08-15,1,Single,3068.7
288,2015-04-08,2015-04-13,1,Single,574.24
289,2019-06-09,2019-06-21,3,Single,2412.19
290,2023-04-05,2023-04-18,1,Double,3552.06
291,2016-01-09,2016-01-20,3,Single,895.05
292,2021-11-12,2021-11-17,4,Single,569.31
293,2020-11-20,2020-11-26,4,Single,757.15
294,2022-09-29,2022-10-04,2,Single,787.67
295,2023-08-17,2023-08-28,3,Single,3241.45
296,2022-07-08,2022-07-19,4,Family,7447.48
297,2016-05-22,2016-05-28,2,Double,1632.03
298,2015-07-18,2015-07-30,3,Single,2335.28
299,2016-09-18,2016-09-23,3,Family,2562.84
300,2018-01-21,2018-02-03,4,Single,1872.06
301,2016-11-23,2016-12-05,3,Family,3321.13
302,2019-05-17,2019-05-28,2,Single,1486.73
303,2023-11-30,2023-12-06,2,Single,728.61
304,2020-10-05,2020-10-19,3,Single,1487.72
305,2021-07-08,2021-07-10,4,Family,1260.84
306,2023-03-19,2023-03-22,3,Single,811.34
307,2020-09-17,2020-09-20,1,Single,644.1
308,2021-06-16,2021-06-21,4,Family,3026.23
309,2019-04-27,2019-05-04,1,Double,1825.55
310,2018-12-09,2018-12-17,2,Double,1728.56
311,2019-04-21,2019-05-03,1,Single,2102.74
312,2015-11-20,2015-11-26,2,Single,950.65
313,2016-09-13,2016-09-15,2,Single,387.89
314,2022-12-29,2022-12-31,3,Family,706.95
315,2018-12-27,2019-01-04,3,Family,2500.02
316,2017-10-02,2017-10-14,1,Double,2391.4
317,2019-02-07,2019-02-21,2,Double,2899.84
318,2019-05-19,2019-05-22,3,Family,1127.03
319,2022-12-04,2022-12-17,2,Single,1752.78
320,2017-05-04,2017-05-16,2,Double,3258.05
321,2016-06-25,2016-07-04,2,Single,1908.6
322,2017-12-31,2018-01-13,2,Single,722.85
323,2019-11-13,2019-11-26,4,Family,6771.32
324,2023-03-03,2023-03-17,2,Double,3196.95
325,2018-01-19,2018-01-31,3,Single,977.16
326,2022-03-11,2022-03-20,2,Single,1647.11
327,2017-12-27,2017-12-31,4,Single,634.61
328,2020-02-01,2020-02-08,4,Family,2008.75
329,2018-02-21,2018-02-28,1,Single,548.58
330,2015-03-14,2015-03-19,2,Double,1095.99
331,2015-03-02,2015-03-13,2,Double,3548.76
332,2021-05-25,2021-06-02,4,Single,819.14
333,2021-03-24,2021-03-30,2,Double,1656.54
334,2023-12-01,2023-12-08,4,Single,890.71
335,2021-01-27,2021-02-10,1,Double,2280.21
336,2016-04-19,2016-05-03,1,Double,3345.95
337,2015-04-05,2015-04-06,2,Single,142.74
338,2015-09-18,2015-10-02,2,Single,2657.04
339,2018-10-14,2018-10-15,4,Single,227.8
340,2021-08-24,2021-08-27,4,Family,2428.13
341,2021-01-31,2021-02-12,2,Double,1923.14
342,2023-09-28,2023-10-12,1,Double,4271.61
343,2015-12-29,2016-01-12,1,Single,1565.62
344,2019-12-09,2019-12-11,3,Single,333.3
345,2022-08-08,2022-08-16,4,Family,5271.09
346,2017-02-23,2017-03-08,3,Family,3743.62
347,2018-06-21,2018-06-22,4,Single,211.39
348,2019-09-22,2019-10-06,3,Family,6154.6
349,2015-06-08,2015-06-18,3,Family,5215.89
350,2022-10-25,2022-11-06,4,Family,6068.25
351,2017-04-11,2017-04-16,3,Family,2420.75
352,2015-05-26,2015-06-03,1,Double,1575.85
353,2023-05-08,2023-05-15,3,Family,3491.95
354,2021-01-02,2021-01-13,4,Single,1451.66
355,2023-08-27,2023-08-31,4,Family,3096.33
356,2020-01-26,2020-02-02,1,Single,957.28
357,2020-08-23,2020-08-29,1,Single,2141.5
358,2018-02-25,2018-03-11,4,Family,3025.62
359,2015-05-23,2015-06-04,3,Family,4216.75
360,2018-06-30,2018-07-03,1,Single,911.11
361,2016-01-17,2016-01-20,1,Single,181.86
362,2017-09-15,2017-09-22,4,Single,1294.41
363,2020-06-06,2020-06-10,3,Single,740.01
364,2015-06-20,2015-06-26,3,Single,1572.3
365,2015-10-27,2015-11-10,3,Family,4597.04
366,2016-10-17,2016-10-29,4,Family,4707.8
367,2018-11-22,2018-12-01,1,Single,1617.75
368,2021-08-12,2021-08-18,4,Family,4247.13
369,2015-08-08,2015-08-14,2,Single,905.87
370,2019-08-24,2019-08-28,1,Single,758.13
371,2022-08-13,2022-08-15,4,Family,1086.06
372,2021-12-07,2021-12-11,1,Single,580.92
373,2022-08-21,2022-08-29,4,Family,5906.61
374,2022-07-02,2022-07-15,1,Double,3985.07
375,2022-05-20,2022-05-30,4,Family,4560.88
376,2017-08-05,2017-08-19,1,Double,3418.95
377,2019-11-02,2019-11-15,1,Double,4318.59
378,2015-05-07,2015-05-13,1,Double,1641.61
379,2020-10-25,2020-10-26,2,Single,226.27
380,2019-05-27,2019-06-01,2,Single,602.64
381,2018-12-27,2019-01-06,2,Single,748.58
382,2022-01-29,2022-02-02,2,Double,709.04
383,2020-12-11,2020-12-25,4,Single,1504.91
384,2020-04-15,2020-04-22,2,Single,988.07
385,2015-04-21,2015-04-30,3,Family,2910.0
386,2015-07-09,2015-07-13,4,Family,2222.17
387,2021-11-10,2021-11-17,4,Family,3039.99
388,2021-07-17,2021-07-31,1,Single,3746.17
389,2019-08-13,2019-08-24,4,Single,3233.76
390,2015-03-14,2015-03-19,3,Family,1935.98
391,2023-11-11,2023-11-24,2,Double,4826.23
392,2020-11-29,2020-12-06,2,Double,2266.89
393,2021-06-14,2021-06-22,3,Single,1626.07
394,2020-10-13,2020-10-20,3,Family,2971.13
395,2021-01-30,2021-02-03,1,Single,388.89
396,2022-11-21,2022-11-27,2,Single,1307.98
397,2018-11-21,2018-11-22,3,Family,524.54
398,2015-12-18,2015-12-20,3,Family,328.25
399,2016-06-13,2016-06-18,2,Double,1127.26
400,2017-11-06,2017-11-08,1,Double,485.77
401,2022-04-08,2022-04-11,4,Family,1667.49
402,2019-03-03,2019-03-15,4,Single,1608.74
403,2018-06-02,2018-06-16,4,Family,8915.44
404,2015-09-14,2015-09-17,4,Family,1281.21
405,2022-04-26,2022-05-03,3,Family,3765.05
406,2020-01-14,2020-01-15,4,Family,345.75
407,2023-08-27,2023-08-28,3,Family,604.48
408,2023-02-20,2023-02-28,4,Family,2783.52
409,2020-01-02,2020-01-04,2,Single,276.38
410,2022-12-12,2022-12-13,1,Single,95.88
411,2015-01-22,2015-01-28,4,Family,1698.29
412,2022-04-14,2022-04-23,2,Single,1299.89
413,2016-06-17,2016-06-22,3,Single,1171.98
414,2021-10-09,2021-10-10,1,Single,119.13
415,2022-08-28,2022-09-05,3,Single,1609.96
416,2021-05-08,2021-05-10,1,Single,396.44
417,2022-03-31,2022-04-04,3,Family,2132.44
418,2017-02-25,2017-03-10,3,Family,3767.76
419,2022-12-17,2022-12-22,2,Double,799.48
420,2018-08-19,2018-08-24,3,Family,2670.93
421,2020-07-10,2020-07-12,1,Single,507.15
422,2018-08-27,2018-09-10,4,Family,8550.44
423,2017-04-01,2017-04-13,1,Single,2277.47
424,2018-07-18,2018-07-27,4,Family,6059.68
425,2019-04-25,2019-05-06,3,Family,3607.71
426,2023-02-23,2023-02-27,4,Family,1214.36
427,2015-10-05,2015-10-16,2,Single,2257.37
428,2018-02-09,2018-02-21,1,Double,2055.37
429,2019-04-11,2019-04-20,3,Single,1598.94
430,2021-06-10,2021-06-20,3,Single,3522.23
431,2021-05-04,2021-05-16,3,Family,5352.29
432,2023-05-26,2023-06-09,1,Double,3470.29
433,2019-02-22,2019-02-24,1,Single,372.65
434,2019-04-24,2019-05-06,1,Single,2039.49
435,2018-07-13,2018-07-17,1,Single,872.54
436,2019-06-26,2019-06-28,4,Family,1386.47
437,2021-08-09,2021-08-20,2,Double,3511.18
438,2020-02-01,2020-02-09,4,Family,2918.99
439,2018-02-13,2018-02-18,1,Double,582.42
440,2020-04-08,2020-04-22,1,Double,4098.11
441,2015-05-03,2015-05-15,3,Family,4376.5
442,2019-10-16,2019-10-25,1,Double,1884.74
443,2022-06-18,2022-07-02,1,Single,2678.93
444,2018-05-29,2018-06-12,2,Single,2919.82
445,2018-02-05,2018-02-17,3,Single,1192.49
446,2016-12-21,2016-12-24,3,Single,163.99
447,2023-06-23,2023-06-26,4,Single,517.34
448,2021-10-21,2021-11-04,4,Single,3658.89
449,2019-08-01,2019-08-03,3,Family,927.99
450,2019-09-05,2019-09-11,2,Double,1415.32
451,2017-11-29,2017-12-02,3,Family,1102.1
452,2022-01-06,2022-01-17,3,Single,2397.95
453,2022-11-27,2022-11-28,3,Single,143.77
454,2016-04-05,2016-04-07,4,Single,232.18
455,2023-08-21,2023-08-31,3,Single,1503.35
456,2021-04-20,2021-05-03,4,Single,1693.63
457,2016-02-10,2016-02-16,1,Single,399.11
458,2018-02-06,2018-02-07,3,Single,78.37
459,2018-10-07,2018-10-11,3,Family,1992.6
460,2019-07-14,2019-07-18,2,Single,892.95
461,2016-11-29,2016-12-04,4,Family,1961.89
462,2017-01-27,2017-01-28,2,Double,114.16
463,2017-12-22,2017-12-27,4,Family,954.18
464,2020-01-13,2020-01-25,1,Single,1695.75
465,2022-02-27,2022-03-01,3,Single,280.29
466,2020-09-17,2020-09-27,3,Single,1701.58
467,2015-01-21,2015-01-30,1,Double,1239.47
468,2019-04-23,2019-05-03,1,Single,1614.44
469,2015-10-14,2015-10-24,3,Family,3684.4
470,2023-10-15,2023-10-23,3,Single,2366.54
471,2015-11-16,2015-11-22,4,Family,2635.8
472,2016-10-10,2016-10-11,1,Double,232.95
473,2018-04-23,2018-05-02,1,Double,1854.17
474,2022-04-04,2022-04-13,4,Family,4108.37
475,2018-08-10,2018-08-11,3,Family,587.14
476,2016-12-07,2016-12-19,1,Single,1399.53
477,2017-02-17,2017-03-03,1,Double,2528.24
478,2019-09-01,2019-09-11,4,Single,2059.18
479,2016-08-03,2016-08-15,2,Double,3298.66
480,2016-09-19,2016-09-25,3,Single,981.97
481,2015-10-07,2015-10-19,2,Single,1603.37
482,2017-06-18,2017-07-02,1,Double,5686.44
483,2016-01-10,2016-01-21,4,Family,2427.8
484,2022-07-03,2022-07-12,2,Double,4102.94
485,2017-08-22,2017-08-26,4,Single,746.98
486,2023-01-14,2023-01-28,3,Family,5269.19
487,2021-02-17,2021-02-27,3,Family,2658.56
488,2021-11-15,2021-11-28,4,Single,2323.75
489,2017-09-05,2017-09-15,4,Family,4219.52
490,2023-10-27,2023-11-09,4,Family,6651.63
491,2020-01-25,2020-02-06,3,Family,3003.67
492,2019-03-10,2019-03-22,1,Double,2619.48
493,2018-01-16,2018-01-23,1,Single,481.91
494,2016-01-15,2016-01-18,2,Single,159.84
495,2023-02-05,2023-02-12,4,Family,2194.98
496,2017-11-02,2017-11-10,4,Family,3532.05
497,2021-04-04,2021-04-06,4,Single,391.89
498,2016-04-18,2016-05-02,3,Single,2555.7
499,2020-07-05,2020-07-11,1,Double,2102.57
500,2019-07-28,2019-08-05,3,Single,1750.8
501,2021-03-19,2021-04-01,4,Family,7884.08
502,2023-11-22,2023-11-23,3,Single,163.64
503,2017-10-01,2017-10-08,4,Single,1415.86
504,2022-04-12,2022-04-26,1,Single,4431.89
505,2021-09-11,2021-09-17,4,Family,3742.24
506,2020-03-18,2020-03-27,4,Family,3950.24
507,2020-03-10,2020-03-12,3,Single,323.05
508,2016-06-18,2016-06-27,3,Family,3821.16
509,2022-03-05,2022-03-09,2,Double,738.87
510,2023-09-10,2023-09-16,3,Family,3228.15
511,2019-02-12,2019-02-19,2,Double,1001.26
512,2020-11-09,2020-11-16,3,Family,2956.58
513,2016-10-14,2016-10-28,2,Single,1950.92
514,2021-01-15,2021-01-23,2,Single,888.36
515,2020-05-29,2020-06-09,1,Double,2616.17
516,2019-07-14,2019-07-28,1,Double,4680.74
517,2023-03-20,2023-04-03,2,Single,1393.64
518,2016-02-20,2016-03-02,4,Family,3600.19
519,2022-05-10,2022-05-14,2,Single,540.68
520,2021-09-26,2021-10-01,4,Single,639.69
521,2021-07-22,2021-08-04,2,Double,5443.41
522,2015-11-24,2015-12-07,3,Single,1560.12
523,2016-06-03,2016-06-04,1,Single,301.24
524,2021-02-22,2021-02-25,4,Family,1057.49
525,2022-09-04,2022-09-05,2,Double,360.73
526,2019-11-22,2019-11-28,1,Double,1097.97
527,2022-09-21,2022-09-22,3,Family,371.53
528,2018-10-01,2018-10-08,1,Single,1057.33
529,2022-04-24,2022-05-06,4,Family,6158.56
530,2017-05-14,2017-05-22,4,Single,1019.27
531,2017-06-30,2017-07-04,2,Single,844.49
532,2018-08-28,2018-09-11,3,Single,1907.25
533,2023-02-15,2023-02-27,4,Family,4404.71
534,2020-02-08,2020-02-13,4,Family,1852.76
535,2023-07-22,2023-08-05,3,Family,8112.98
536,2016-02-19,2016-02-23,2,Single,470.82
537,2019-08-25,2019-09-01,4,Family,4481.08
538,2023-07-21,2023-08-04,1,Single,3277.27
539,2015-01-24,2015-02-03,1,Single,1621.49
540,2020-08-15,2020-08-21,1,Single,1068.87
541,2015-12-08,2015-12-21,2,Double,2692.99
542,2023-01-30,2023-02-02,1,Double,471.73
